,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,0.0,0.0,0.0,0.0,2.6486645,0.0,0.0,0.0,4.8571267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.969765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.149132,0.0,3.063042
1,1.0574595,0.0,3.5761504,0.0,2.5462224,0.0,0.93620235,0.0,2.9415557,0.0,1.9254993,2.15443,0.0,0.0,0.29853976,0.0,0.0,0.0,0.957718,0.0,0.0,0.0,0.0,0.8372726,0.0,3.2505655,0.0,0.0,0.0,0.0,0.4814483,2.988895,1.9654987,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6086407,0.0,0.0,0.0,4.059446,0.0,0.0,0.0,0.0,0.0,6.012313,0.48632467,0.0,0.0,0.0,0.90721786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4778687,1.403963,2.3692021,0.0,1.5709906
3,0.0,0.0,5.698953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3276067,0.0,2.286467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8672104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0412846
4,2.716453,0.0,0.0,0.0,0.0,0.0,3.5479603,0.0,3.8311574,0.0,2.558952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16334552,0.0,0.0,0.0,0.0,0.0,0.0,3.3617115,0.0,0.0,0.0,0.048376143,0.0,4.299348,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.412332,0.0,0.0,0.0,0.0,5.973547,3.6936674,4.677366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6584415,0.0,5.8451805
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.365715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0325859,0.0,10.63623,0.0,0.0
8,1.4640229,0.0,2.2093706,2.3343332,1.2719011,0.0,1.367768,0.0,0.4913609,0.0,0.0,1.0593631,0.46334028,0.0,1.8771269,0.0,0.11597483,0.0,0.0,0.20965862,0.0,0.0,0.0,0.0,0.8799442,0.2523991,1.7858198,0.0,3.811437,0.0,2.0872076,0.7024664,0.0,0.0,0.0,0.0
9,2.3849258,0.0,1.6881319,1.8256829,2.579018,0.0,3.6558862,0.0,1.8751411,0.0,0.0,2.7816472,0.0,0.0,3.129941,0.0,2.752784,0.0,0.49570057,0.985585,0.0,0.0,0.0,0.0,0.0,2.8510413,1.6113658,0.0,1.9216758,1.883981,1.5532856,1.9778712,0.41280866,0.0,0.0,0.027395517
10,1.9448426,0.0,0.0,1.9652262,0.0,0.0,4.7236195,0.0,1.7063758,0.0,0.0,0.32149225,0.8356651,0.0,1.72062,0.0,1.5823196,0.0,1.2331933,0.7902769,0.8872328,0.0,0.0,1.0822939,0.0,3.0718706,0.0,0.0,0.98569155,1.4498754,0.37510407,0.0,0.0,0.0,0.0,0.8652266
11,0.0,0.0,0.0,0.0,2.5567017,0.0,0.0,0.0,4.3856945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7638845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1440349,0.0,1.9072962
12,0.0,0.0,0.0,0.0,0.0,0.0,2.9493794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5814652,0.0,0.0
13,2.4236739,0.0,0.50783616,1.2535126,0.0,0.36919892,0.0,0.0,0.67787385,0.0,0.0,0.0,1.0023125,0.0,0.2999102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5996678,0.0,1.3902957,0.0,0.0,0.0,0.0,4.8171926
14,3.1833625,0.0,0.14760762,0.65710413,0.0,0.0,0.0,0.0,0.037555978,0.0,0.0,0.0,0.9367055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83596283,0.0,0.0,0.0,0.0,3.785091
15,1.2763963,0.0,0.64455855,2.1127467,3.2585828,0.0,4.740262,0.0,2.0534163,3.0345426,0.8576992,1.1020298,0.021202922,0.0,2.4461148,0.0,1.5104533,0.0,0.0,1.5360491,0.0,0.0,0.0,0.0,0.0,3.6946492,2.6340566,0.0,1.9526348,1.1771696,0.10152334,1.7035601,0.0,0.0,0.0,0.0
16,2.6319566,0.0,0.0,0.0,0.0,0.17472243,2.0610907,0.0,1.4334406,0.0,0.0,0.0,3.965179,0.0,0.0,0.0,0.0,4.7616525,0.0,0.22346878,0.0,0.0,4.286843,5.398244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9325683,1.3738244,0.0,0.0,0.0
17,2.2609406,0.0,1.9349649,0.0,0.29210448,0.0,0.014639616,0.0,1.3812637,0.0,2.3555381,2.6056454,0.74074614,0.0,2.950219,0.0,0.0,0.0,0.0,0.0,0.20657772,1.4066445,0.0,0.0,0.0,1.2530379,3.5140328,0.0,0.35676932,0.0,2.425062,0.29289192,0.0,0.0,0.0,2.4251618
